;Title;Producer;Brand;Vintage;Wine Type;Colour;Country;Region;Appellation;Sweetness;Closure;Alcohol;Body;Oak;Grapes
94;Hodgkinson, Mas del Habanero, Priorat, Catalonia, 2016;Hodgkinson;Mas del Habanero;2016;Still;Red;Spain;Catalonia;Priorat;Dry;Cork;14.50%;Full;;['Grenache / Garnacha', 'Carignan / Cariñena']
95;Ferrer Bobet, Vinyes Velles, Priorat, Catalonia, Spain, 2018;Ferrer Bobet;Vinyes Velles;2018;Still;Red;Spain;Catalonia;Priorat;Dry;Cork;14.50%;Full;;['Grenache / Garnacha', 'Carignan / Cariñena']
96;Gratavinum, GV5, Gratallops, Catalonia, Spain, 2019;Gratavinum;GV5;2019;Still;Red;Spain;Catalonia;Gratallops;Dry;Cork;15.00%;Full;;['Grenache / Garnacha', 'Carignan / Cariñena']
97;Ritme Celler, Etern, Priorat, Catalonia, Spain, 2018;Ritme Celler;Etern;2018;Still;Red;Spain;Catalonia;;;;;;;
98;Celler Joan Simó, Tros Nou Vi de Vila Bellmunt, Priorat 2018;Celler Joan Simó;Tros Nou Vi de Vila Bellmunt;2018;Still;Red;Spain;Catalonia;Priorat;Dry;Cork;14.50%;Full;;['Grenache / Garnacha', 'Carignan / Cariñena']
99;Vinya del Vuit, Ester Sara René Philippe Núria Montse Iban Juliae, Priorat 2017;Vinya del Vuit;Ester Sara René Philippe Núria Montse Iban Juliae;2017;Still;Red;Spain;Catalonia;Priorat;Dry;Cork;15.00%;Full;;['Carignan / Cariñena']
100;Saó del Coster, Planassos, Priorat, Catalonia, Spain, 2015;Saó del Coster;Planassos;2015;Still;Red;Spain;Catalonia;Priorat;Dry;Cork;14.50%;Full;;['Carignan / Cariñena']
101;Morlanda, Vi de Guarda Tinto, Priorat, Catalonia, 2018;Morlanda;Vi de Guarda Tinto;2018;Still;Red;Spain;Catalonia;Priorat;Dry;Cork;14.50%;Full;;['Grenache / Garnacha', 'Carignan / Cariñena']
102;Franck Massard, Huellas, Priorat, Catalonia, Spain, 2016;Franck Massard;Huellas;2016;Still;Red;Spain;Catalonia;Priorat;Dry;Cork;14.50%;Full;;['Grenache / Garnacha', 'Carignan / Cariñena']
103;Blai Ferré i Just, Desnivell, Priorat, Catalonia, 2014;Blai Ferré i Just;Desnivell;2014;Still;Red;Spain;Catalonia;Priorat;Dry;Cork;14.50%;Full;;['Grenache / Garnacha', 'Carignan / Cariñena']
104;Cal Batllet, D'Iatra, Gratallops, Catalonia, Spain, 2017;Cal Batllet;D'Iatra;2017;Still;Red;Spain;Catalonia;Gratallops;Dry;Cork;14.50%;Full;;['Cabernet Sauvignon', 'Grenache / Garnacha', 'Carignan / Cariñena']
105;Atavus Priorat, D'Anfora Syrah, Gratallops, Catalonia, 2019;Atavus Priorat;D'Anfora Syrah;2019;Still;Red;Spain;Catalonia;Gratallops;Dry;Cork;14.50%;Full;;['Syrah / Shiraz']
106;Morlanda, Costers del Prior, Priorat, Catalonia, Spain, 2018;Morlanda;Costers del Prior;2018;Still;Red;Spain;Catalonia;Priorat;Dry;Cork;15.00%;Full;;['Grenache / Garnacha', 'Carignan / Cariñena']
107;La Conreria d'Scala Dei, Coster del Mario Vi de Paratge Deveses, Priorat 2018;La Conreria d'Scala Dei;Coster del Mario Vi de Paratge Deveses;2018;Still;Red;Spain;Catalonia;Priorat;Dry;Cork;14.50%;Full;;['Grenache / Garnacha', 'Carignan / Cariñena']
108;Mas d'en Gil, Coma Vella, Priorat, Catalonia, Spain, 2017;Mas d'en Gil;Coma Vella;2017;Still;Red;Spain;Catalonia;Priorat;Dry;Cork;14.50%;Full;;['Grenache / Garnacha', 'Syrah / Shiraz', 'Carignan / Cariñena']
109;Sangenís i Vaqué, Clos Monlleó, Priorat, Catalonia, 2012;Sangenís i Vaqué;Clos Monlleó;2012;Still;Red;Spain;Catalonia;Priorat;Dry;Cork;15.50%;Full;;['Grenache / Garnacha', 'Carignan / Cariñena']
110;La Perla del Priorat, Clos Les Fites Criança, Priorat, 2016;La Perla del Priorat;Clos Les Fites Criança;2016;Still;Red;Spain;Catalonia;Priorat;Dry;Cork;15.00%;Full;;['Cabernet Sauvignon', 'Grenache / Garnacha', 'Carignan / Cariñena']
111;Clos Figueras, Clos Figueres, Priorat, Catalonia, 2018;Clos Figueras;Clos Figueres;2018;Still;Red;Spain;Catalonia;Priorat;Dry;Cork;15.00%;Full;;['Cabernet Sauvignon', 'Grenache / Garnacha', 'Carignan / Cariñena']
112;Mas Alta, Cirerets, Priorat, Catalonia, Spain, 2020;Mas Alta;Cirerets;2020;Still;Red;Spain;Catalonia;Priorat;Dry;Cork;15.50%;Full;;['Grenache / Garnacha', 'Carignan / Cariñena']
113;Scala Dei, Cartoixa, Priorat, Catalonia, Spain, 2018;Scala Dei;Cartoixa;2018;Still;Red;Spain;Catalonia;Priorat;Dry;Cork;14.50%;Full;;['Carignan / Cariñena']
